,,,,,,,
,PACK,BLUE,GREEN,YELLOW,ORANGE,RED,TOTAL
,1,5,3,0,0,0,8
,2,4,1,1,1,0,7
,3,1,1,1,0,3,6
,4,0,2,2,2,0,6
,5,1,2,2,0,2,7
,6,3,1,0,1,2,7
,7,2,2,2,0,1,7
,8,2,0,2,0,2,6
,9,2,0,2,0,2,6
,10,0,0,3,0,3,6
,11,2,0,1,2,1,6
,12,1,1,2,0,2,6
,13,2,0,1,1,2,6
,14,2,2,1,0,1,6
,15,3,2,0,0,1,6
,16,1,1,1,0,3,6
,17,3,0,2,0,1,6
,18,1,1,0,1,3,6
,19,0,2,1,2,1,6
,20,2,2,2,0,1,7
,21,0,0,3,2,1,6
,22,3,1,0,1,1,6
,23,2,0,2,1,1,6
,24,0,1,2,1,2,6
,25,1,1,1,1,2,6
,26,2,0,0,2,2,6
,27,1,2,2,0,1,6
,28,0,2,1,0,3,6
,29,2,1,1,2,0,6
,30,3,1,0,0,2,6
,31,5,1,0,0,0,6
,32,1,3,0,2,1,7
,33,2,3,1,2,0,8
,34,3,1,2,0,0,6
,35,3,0,0,2,1,6
,36,2,1,1,0,2,6
,37,2,0,1,2,3,8
,38,1,1,0,2,2,6
,39,3,0,1,0,2,6
,40,4,0,0,0,2,6
,41,0,2,0,1,3,6
,42,2,1,1,1,1,6
,43,1,0,2,0,3,6
,44,1,0,2,0,3,6
,45,1,2,1,1,1,6
,46,1,3,0,2,0,6
,47,1,4,0,0,1,6
,48,1,1,2,0,2,6
,49,1,2,0,0,3,6
,50,2,0,1,2,1,6
,51,0,2,2,1,1,6
,52,0,1,1,2,2,6
,53,1,2,1,2,0,6
,54,1,1,1,3,1,7
,55,1,0,0,2,3,6
,56,3,1,1,0,1,6
,57,2,1,2,0,1,6
,58,1,1,4,0,0,6
,59,3,0,0,0,3,6
,60,3,1,1,0,2,7
,61,2,1,0,2,2,7
,62,1,2,0,1,2,6
,63,2,2,0,1,1,6
,64,3,0,0,1,2,6
,65,3,2,0,0,1,6
,66,3,0,1,1,3,8
,67,3,0,0,3,0,6
,68,2,1,0,2,1,6
,69,1,0,0,1,3,5
,70,2,0,0,2,2,6
,71,2,2,1,1,0,6
,72,3,2,0,2,0,7
,73,1,2,2,1,2,8
,74,1,0,1,4,0,6
,75,2,2,1,2,0,7
,76,2,0,0,0,4,6
,77,2,2,0,0,2,6
,78,2,0,0,1,3,6
,79,1,0,1,1,3,6
,80,1,1,1,1,2,6
,81,2,1,1,0,2,6
,82,2,1,1,1,1,6
,83,0,2,3,0,1,6
,84,0,1,0,1,4,6
,85,1,0,0,2,3,6
,86,3,1,1,0,1,6
,87,1,1,3,1,0,6
,88,1,1,0,0,4,6
,89,2,0,1,2,2,7
,90,5,1,0,0,1,7
,91,1,2,1,1,2,7
,92,3,0,2,0,1,6
,93,1,0,0,1,4,6
,94,3,1,1,0,1,6
,95,2,0,1,3,0,6
,96,0,2,2,2,0,6
,97,0,4,0,2,0,6
,98,0,0,2,0,4,6
,99,1,0,2,0,3,6
,100,3,1,1,0,1,6
,101,1,1,1,0,3,6
,102,1,2,2,0,1,6
,103,2,2,1,1,0,6
,104,1,2,2,0,1,6
,105,2,2,1,0,1,6
,106,0,4,1,1,0,6
,107,1,0,1,0,4,6
,108,1,3,2,0,0,6
,109,1,1,2,1,1,6
,110,1,2,1,0,2,6
,111,0,2,0,2,2,6
,112,1,0,2,3,0,6
,113,2,0,2,0,2,6
,114,1,2,0,1,2,6
,115,2,0,0,2,2,6
,116,2,1,0,1,2,6
,117,1,1,1,2,1,6
,118,6,0,0,0,0,6
,119,1,1,0,1,3,6
,120,2,0,1,3,0,6
,121,1,2,0,1,2,6
,122,1,1,0,3,1,6
,123,0,2,1,1,2,6
,124,2,0,2,0,2,6
,125,2,1,3,0,0,6
,126,1,2,1,1,1,6
,127,1,0,2,1,3,7
,128,1,1,2,2,0,6
,129,3,0,1,0,2,6
,130,2,1,1,1,1,6
,131,2,2,1,1,2,8
,132,2,1,0,2,2,7
,133,3,1,0,1,1,6
,134,0,1,2,0,3,6
,135,1,2,0,0,3,6
,136,0,2,1,1,4,8
,137,2,0,3,0,1,6
,138,3,1,1,1,0,6
,139,3,1,0,2,0,6
,140,0,1,0,3,2,6
,141,4,0,0,0,2,6
,142,0,2,0,1,3,6
,143,3,1,1,0,1,6
,144,1,2,1,0,2,6
,145,0,3,0,2,4,9
,146,1,3,1,1,1,7
,147,2,0,0,2,2,6
,148,1,0,2,0,3,6
,149,0,2,3,1,0,6
,150,0,1,3,0,2,6
,151,0,1,2,1,2,6
,152,2,0,0,3,1,6
,153,2,0,1,2,3,8
,154,1,0,2,2,1,6
,155,1,2,3,1,1,8
,156,0,2,1,1,2,6
,157,1,0,1,2,2,6
,158,2,1,1,0,2,6
,159,2,1,0,2,1,6
,160,0,1,0,0,5,6
,161,2,1,1,2,0,6
,162,1,1,0,1,3,6
,163,1,1,2,0,2,6
,164,1,1,1,1,2,6
,165,0,2,2,0,2,6
,166,3,2,0,0,1,6
,167,3,1,0,1,1,6
,168,2,1,1,0,2,6
,169,3,0,2,0,1,6
,170,0,0,3,2,1,6
,171,0,1,2,2,1,6
,172,2,1,1,0,2,6
,173,0,0,0,3,3,6
,174,3,1,1,1,0,6
,175,1,1,0,1,3,6
,176,3,0,1,2,0,6
,177,2,2,1,0,1,6
,178,0,0,1,1,4,6
,179,2,0,0,0,4,6
,180,0,3,2,2,0,7
,181,3,1,1,0,1,6
,182,2,0,1,0,3,6
,183,3,1,0,0,2,6
,184,0,0,1,4,1,6
,185,1,1,1,2,1,6
,186,2,1,0,0,3,6
,187,1,2,0,1,2,6
,188,2,2,0,0,2,6
,189,5,1,0,0,0,6
,190,1,1,0,4,1,7
,191,1,2,1,1,1,6
,192,3,0,3,0,0,6
,193,2,0,2,1,1,6
,194,2,1,0,2,1,6
,195,1,4,1,1,1,8
,196,3,1,0,1,1,6
,197,0,0,2,0,4,6
,198,2,2,0,1,1,6
,199,0,2,1,2,2,7
,200,3,2,0,0,1,6
,201,1,0,2,2,1,6
,202,1,1,0,1,3,6
,203,0,2,0,1,4,7
,204,1,2,1,1,2,7
,205,0,3,1,1,1,6
,206,2,0,2,1,1,6
,207,2,1,1,1,1,6
,208,2,0,2,0,3,7
,209,3,1,1,0,1,6
,210,0,1,2,3,0,6
,211,2,1,1,1,1,6
,212,3,1,1,0,1,6
,213,2,2,0,1,1,6
,214,3,2,0,1,0,6
,215,3,1,1,0,1,6
,216,0,1,2,1,2,6
,217,2,0,2,1,1,6
,218,4,0,1,1,0,6
,219,0,1,1,1,3,6
,220,1,3,0,1,1,6
,221,1,1,4,0,2,8
,222,1,2,1,0,2,6
,223,2,2,0,1,1,6
,224,1,0,3,0,2,6
,225,5,0,1,0,0,6
,226,1,1,1,0,3,6
,227,4,1,0,0,2,7
,228,2,1,1,2,0,6
,229,2,1,2,1,1,7
,230,0,0,2,1,3,6
,231,0,0,0,1,5,6
,232,1,1,3,1,0,6
,233,1,1,0,1,3,6
,234,3,0,1,1,1,6
,235,0,1,3,2,1,7
,236,1,2,0,3,2,8
,237,2,0,0,3,1,6
,238,1,1,1,2,1,6
,239,3,1,0,1,1,6
,240,0,0,0,3,3,6
,241,3,0,0,3,0,6
,242,1,1,0,2,2,6
,243,3,1,0,1,1,6
,244,0,1,3,0,2,6
,245,0,1,1,3,2,7
,246,1,1,2,2,0,6
,247,1,0,2,1,2,6
,248,1,1,1,1,2,6
,249,2,0,2,1,1,6
,250,3,1,1,0,1,6
,251,0,0,1,0,5,6
,252,1,0,1,0,4,6
,253,1,0,2,0,3,6
,254,4,0,0,2,0,6
,255,0,1,2,2,3,8
,256,1,3,1,0,1,6
,257,2,2,0,2,0,6
,258,0,1,2,0,3,6
,259,1,1,0,1,3,6
,260,2,2,0,0,3,7
,261,1,3,0,1,1,6
,262,1,0,3,2,0,6
,263,1,2,1,0,2,6
,264,1,0,1,3,1,6
,265,1,1,2,2,0,6
,266,2,0,2,0,2,6
,267,4,1,0,1,0,6
,268,1,3,0,1,1,6
,269,3,1,0,1,1,6
,270,3,0,1,1,3,8
,271,2,3,1,0,1,7
,272,1,1,1,3,2,8
,273,2,2,1,1,0,6
,274,1,1,2,1,1,6
,275,2,0,2,0,2,6
,276,2,0,1,1,2,6
,277,2,1,1,1,1,6
,278,3,2,1,0,0,6
,279,2,2,1,0,1,6
,280,1,1,1,1,2,6
,281,1,0,3,1,1,6
,282,2,1,0,3,0,6
,283,1,1,1,2,1,6
,284,3,0,1,2,0,6
,285,3,1,0,0,2,6
,286,2,2,2,0,0,6
,287,3,1,0,1,1,6
,288,2,1,1,2,0,6
,289,1,1,0,1,3,6
,290,1,1,2,0,2,6
,291,5,0,0,2,0,7
,292,1,1,2,0,2,6
,293,0,2,1,2,3,8
,294,1,1,1,0,3,6
,295,2,1,0,2,1,6
,296,1,2,2,0,1,6
,297,1,1,0,1,3,6
,298,2,2,0,0,2,6
,299,1,3,0,1,2,7
,300,3,0,0,1,4,8
,301,3,1,1,0,1,6
,302,2,0,3,1,0,6
,303,3,2,1,0,0,6
,304,2,0,1,2,1,6
,305,3,0,0,0,3,6
,306,0,1,2,1,2,6
,307,2,3,0,0,1,6
,308,1,0,1,1,3,6
,309,4,0,1,1,1,7
,310,1,0,2,0,3,6
,311,3,1,0,1,1,6
,312,2,1,1,2,0,6
,313,1,0,1,1,3,6
,314,1,3,1,0,1,6
,315,2,2,2,0,0,6
,316,4,0,0,1,1,6
,317,0,2,0,2,3,7
,318,3,1,0,2,1,7
,319,2,1,2,0,1,6
,320,1,0,2,0,3,6
,321,1,1,0,2,2,6
,322,2,1,1,0,2,6
,323,1,3,1,3,0,8
,324,0,2,3,1,0,6
,325,0,0,3,1,2,6
,326,2,0,1,2,1,6
,327,1,0,1,0,4,6
,328,1,0,2,0,3,6
,329,2,1,1,0,2,6
,330,0,2,3,0,1,6
,331,0,2,1,0,3,6
,332,2,1,1,2,0,6
,333,3,0,1,1,1,6
,334,2,1,2,0,2,7
,335,2,0,2,1,1,6
,336,3,0,0,1,2,6
,337,1,1,2,1,1,6
,338,5,0,1,0,1,7
,339,2,0,0,1,3,6
,340,1,1,1,0,3,6
,341,0,1,2,1,2,6
,342,1,1,1,2,1,6
,343,0,3,1,1,2,7
,344,3,1,0,1,1,6
,345,2,0,1,2,1,6
,346,3,1,0,0,2,6
,347,2,2,1,0,1,6
,348,1,1,1,0,3,6
,349,1,1,1,0,3,6
,350,0,2,1,1,3,7
,351,1,1,1,1,2,6
,352,0,1,1,4,1,7
,353,1,0,2,1,2,6
,354,2,3,0,0,2,7
,355,1,0,2,1,2,6
,356,4,2,0,0,0,6
,357,1,0,2,1,2,6
,358,1,2,0,1,2,6
,359,2,1,0,3,0,6
,360,2,1,1,0,3,7
,361,0,0,2,0,4,6
,362,1,0,2,1,2,6
,363,1,1,1,2,1,6
,364,1,1,1,1,2,6
,365,3,2,0,0,1,6
,366,2,1,1,1,1,6
,367,1,2,2,0,1,6
,368,1,1,1,1,2,6
,369,1,0,2,1,3,7
,370,0,0,0,2,4,6
,371,1,1,1,1,2,6
,372,2,0,2,0,4,8
,373,2,1,1,0,2,6
,374,1,1,2,1,1,6
,375,1,2,2,1,1,7
,376,4,0,1,1,2,8
,377,3,0,0,1,2,6
,378,0,2,1,2,1,6
,379,1,2,0,2,1,6
,380,3,1,1,0,1,6
,381,2,0,0,2,2,6
,382,1,1,0,2,3,7
,383,2,1,1,2,0,6
,384,1,0,1,1,3,6
,385,1,1,3,0,1,6
,386,0,2,1,1,3,7
,387,0,1,3,1,1,6
,388,1,1,1,1,3,7
,389,4,0,1,0,1,6
,390,1,3,1,0,1,6
,391,2,1,2,0,1,6
,392,2,1,0,0,3,6
,393,1,3,0,2,1,7
,394,2,1,1,0,2,6
,395,1,3,0,0,2,6
,396,2,2,0,1,1,6
,397,1,3,0,1,2,7
,398,1,0,1,2,2,6
,399,2,2,1,0,2,7
,400,1,1,1,2,2,7
,Total,636,420,402,378,642,2492
,percentage,25.52%,16.85%,16.13%,15.17%,25.76%,6.23
,,1.589896,,,,,